Scheme_Code,Scheme_Name,AMC,Scheme_Type,Scheme_Category,Scheme_NAV_Name,Scheme_Min_Amt,NAV,Launch_Date,Launch_Year
100033,Aditya Birla Sun Life Large & Mid Cap Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,5000,894.89,2/24/1995,1995
100034,Aditya Birla Sun Life Large & Mid Cap Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,5000,130.33,2/24/1995,1995
100037,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,5000,12.9669,1/1/1994,1994
100038,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,5000,127.2745,1/1/1994,1994
100041,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,5000,108.023,6/4/1997,1997
100042,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund-Retail (Growth),5000,722.1341,6/4/1997,1997
100043,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),5000,741.059,6/4/1997,1997
100044,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,5000,163.694,6/4/1997,1997
100046,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Daily IDCW,5000,100.195,6/4/1997,1997
100047,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund - Growth,5000,444.9947,6/4/1997,1997
100048,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,5000,108.2459,6/4/1997,1997
